Open,High,Low,Close,Volume,Adj Close,Date
589.3900146484375,591.1300048828125,580.5,584.6400146484375,50204000,581.1685180664062,2025-01-02
587.530029296875,592.5999755859375,586.4299926757812,591.9500122070312,37888500,588.43505859375,2025-01-03
596.27001953125,599.7000122070312,593.5999755859375,595.3599853515625,47679400,591.8248291015625,2025-01-06
597.4199829101562,597.75,586.780029296875,588.6300048828125,60393100,585.1348266601562,2025-01-07
588.7000122070312,590.5800170898438,585.2000122070312,589.489990234375,47304700,585.9896240234375,2025-01-08
585.8800048828125,585.9500122070312,578.5499877929688,580.489990234375,73105000,577.0430297851562,2025-01-10
575.77001953125,581.75,575.3499755859375,581.3900146484375,47910100,577.937744140625,2025-01-13
584.3599853515625,585.0,578.3499755859375,582.1900024414062,48420600,578.7330322265625,2025-01-14
590.3300170898438,593.9400024414062,589.2000122070312,592.780029296875,56900200,589.2601928710938,2025-01-15
594.1699829101562,594.3499755859375,590.9299926757812,591.6400146484375,43319700,588.126953125,2025-01-16
596.9600219726562,599.3599853515625,595.6099853515625,597.5800170898438,58070600,594.0316772460938,2025-01-17
600.6699829101562,603.0599975585938,598.6699829101562,603.0499877929688,42532900,599.4691162109375,2025-01-21
605.9199829101562,607.8200073242188,605.3599853515625,606.4400024414062,48196000,602.8389892578125,2025-01-22
605.7999877929688,609.75,605.52001953125,609.75,41152100,606.12939453125,2025-01-23
609.8099975585938,610.780029296875,606.7999877929688,607.969970703125,34604700,604.35986328125,2025-01-24
594.8099975585938,599.6900024414062,594.6400146484375,599.3699951171875,70361100,595.8109741210938,2025-01-27
600.6199951171875,605.3699951171875,597.25,604.52001953125,44433300,600.930419921875,2025-01-28
603.719970703125,604.1300048828125,599.219970703125,601.8099975585938,37177400,598.2365112304688,2025-01-29
603.9600219726562,606.5999755859375,600.719970703125,605.0399780273438,39281300,601.447265625,2025-01-30
607.5,609.9600219726562,601.0499877929688,601.8200073242188,66566900,598.2463989257812,2025-01-31
592.6699829101562,600.2899780273438,590.489990234375,597.77001953125,65857200,594.220458984375,2025-02-03
597.8300170898438,602.2999877929688,597.280029296875,601.780029296875,33457800,598.2066650390625,2025-02-04
600.6400146484375,604.3699951171875,598.5800170898438,604.219970703125,30653100,600.6321411132812,2025-02-05
605.989990234375,606.4500122070312,602.6300048828125,606.3200073242188,35771500,602.7197265625,2025-02-06
606.8900146484375,608.1300048828125,600.0499877929688,600.77001953125,50788500,597.2026977539062,2025-02-07
604.030029296875,605.5,602.739990234375,604.8499755859375,26048700,601.2584228515625,2025-02-10
602.5499877929688,605.8599853515625,602.4299926757812,605.3099975585938,30056700,601.7156982421875,2025-02-11
599.2000122070312,604.5499877929688,598.510009765625,603.3599853515625,45076100,599.7772827148438,2025-02-12
604.47998046875,609.9400024414062,603.2000122070312,609.72998046875,40921300,606.1094970703125,2025-02-13
609.9400024414062,610.989990234375,609.0700073242188,609.7000122070312,26910400,606.0796508789062,2025-02-14
610.8800048828125,611.489990234375,608.3800048828125,611.489990234375,26749000,607.8590087890625,2025-02-18
610.0800170898438,613.22998046875,609.5599975585938,612.9299926757812,31011100,609.2904663085938,2025-02-19
611.5399780273438,611.6799926757812,607.02001953125,610.3800048828125,36554000,606.755615234375,2025-02-20
610.1599731445312,610.2999877929688,599.469970703125,599.9400024414062,76519800,596.3776245117188,2025-02-21
602.02001953125,603.030029296875,596.489990234375,597.2100219726562,50737200,593.663818359375,2025-02-24
597.1500244140625,597.8900146484375,589.5599975585938,594.239990234375,58266500,590.71142578125,2025-02-25
595.9299926757812,599.5800170898438,591.8599853515625,594.5399780273438,43321600,591.0096435546875,2025-02-26
596.8499755859375,598.02001953125,584.6500244140625,585.0499877929688,74196700,581.5759887695312,2025-02-27
585.5599975585938,594.719970703125,582.4400024414062,594.1799926757812,88744100,590.6517944335938,2025-02-28
596.1799926757812,597.3400268554688,579.9000244140625,583.77001953125,74249200,580.3036499023438,2025-03-03
579.7100219726562,585.3900146484375,572.25,576.8599853515625,109648200,573.4346313476562,2025-03-04
