,Asset,Model,R2,R2_Persist,R2_Improvement,RMSE,RMSE_Persist,MAE,Direction_Acc
0,SPY,Ridge(sqrt),0.35682811716574014,-0.001864785693245885,0.35869290285898603,0.13001096761107755,0.1622635679783418,0.0728886696342801,0.6867469879518072
1,QQQ,Lasso(log),0.3280575844508399,-0.000822823654082816,0.3288804081049227,0.22033634545288247,0.26890489882545376,0.13182766393327222,0.7014725568942436
2,XLK,Ridge(raw),0.28147369963925406,-0.163422553068707,0.44489625270796107,0.249751044147651,0.317800603146806,0.16477541420155437,0.6947791164658634
3,XLF,Huber(log),0.2894708895477247,-0.2962493389401988,0.5857202284879235,0.16843581550268943,0.22750334142576223,0.10012182414056668,0.7242302543507363
