,Asset,Model,Fold_1,Fold_2,Fold_3,Fold_4,Fold_5,Mean,Std
0,SPY,Ridge(sqrt),0.17738505954869166,0.2875800267699933,0.3356624825938106,0.20617788098450907,-0.09650084799354608,0.1820609203806917,0.15028497728687068
1,QQQ,Lasso(log),0.22574545717139693,0.22058158068049882,0.24058877027099856,0.17477055564693467,0.04219843720502403,0.1807769601949706,0.07269678134079452
2,XLK,Ridge(raw),0.12999362315167806,0.1558249470911358,0.1898857412640763,0.20252653708977897,0.09746350878106791,0.15513887147554742,0.0385023050931404
3,XLF,Huber(log),0.04662369347539819,0.2328513257527226,0.09035889925810203,0.14343401199205685,0.050804848833721494,0.11281455586240023,0.06939318087856464
