Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Returns,MA_20,MA_50,Volatility,RSI,MACD
2020-03-13 00:00:00-04:00,2569.989990234375,2711.330078125,2492.3701171875,2711.02001953125,8299070000,0.0,0.0,0.09287124972971839,3051.6454833984376,3197.8617919921876,0.04392038969707142,35.476085171606684,-151.1081844217988
2020-03-16 00:00:00-04:00,2508.590087890625,2562.97998046875,2380.93994140625,2386.1298828125,7805450000,0.0,0.0,-0.11984055240393443,3001.943981933594,3180.4273876953125,0.050181268167435227,31.445216641361753,-177.75588086553807
2020-03-17 00:00:00-04:00,2425.659912109375,2553.929931640625,2367.0400390625,2529.18994140625,8370250000,0.0,0.0,0.05995484974402432,2959.8889770507812,3166.3141845703126,0.05294038471702612,36.222045199706564,-185.37815854682367
2020-03-18 00:00:00-04:00,2436.5,2453.570068359375,2280.52001953125,2398.10009765625,8799300000,0.0,0.0,-0.051830762729157875,2910.4864868164063,3149.3505859375,0.05345768265825028,36.333556014146,-199.52363288321976
2020-03-19 00:00:00-04:00,2393.47998046875,2466.969970703125,2319.780029296875,2409.389892578125,7956100000,0.0,0.0,0.0047078080405855705,2862.294482421875,3132.79478515625,0.053591449776213024,37.09636683022503,-207.4371602848346
2020-03-20 00:00:00-04:00,2431.93994140625,2453.010009765625,2295.56005859375,2304.919921875,9053950000,0.0,0.0,-0.04335951230846191,2810.652978515625,3113.8321826171873,0.053939187695035584,31.118812897081753,-219.48834435018443
2020-03-23 00:00:00-04:00,2290.7099609375,2300.72998046875,2191.860107421875,2237.39990234375,7411380000,0.0,0.0,-0.02929386782180443,2761.228479003906,3093.086181640625,0.05387917984645792,31.41092653918193,-231.74106741389096
2020-03-24 00:00:00-04:00,2344.43994140625,2449.7099609375,2344.43994140625,2447.330078125,7563150000,0.0,0.0,0.09382773976227554,2727.1844848632813,3076.72578125,0.05912796914955883,34.072640443064884,-222.140266527927
2020-03-25 00:00:00-04:00,2457.77001953125,2571.419921875,2407.530029296875,2475.56005859375,8300010000,0.0,0.0,0.011535011448221999,2695.1429931640623,3060.474384765625,0.05931880101011432,36.7252509607238,-209.8557242442448
2020-03-26 00:00:00-04:00,2501.2900390625,2637.010009765625,2500.719970703125,2630.070068359375,7766990000,0.0,0.0,0.062414163303876835,2677.70849609375,3047.4127880859373,0.06083348762064246,42.107228709612805,-185.63370241002985
2020-03-27 00:00:00-04:00,2555.8701171875,2615.909912109375,2520.02001953125,2541.469970703125,6201670000,0.0,0.0,-0.033687352562252526,2657.07099609375,3032.45638671875,0.061182442307541184,44.95157945648269,-171.54319474965996
2020-03-30 00:00:00-04:00,2558.97998046875,2631.800048828125,2545.280029296875,2626.64990234375,5751120000,0.0,0.0,0.03351600948370015,2633.8919921875,3018.65318359375,0.06068708234409273,43.548369602194576,-151.8101413622303
2020-03-31 00:00:00-04:00,2614.68994140625,2641.389892578125,2571.14990234375,2584.590087890625,6576210000,0.0,0.0,-0.016012721914555605,2612.952990722656,3003.7525830078125,0.06051868191279168,45.834379261142324,-137.94807403949198
